"Story","Title","Result","Date","Stability","Duration (s)"
"Registrar producto","Agregar producto al carrito después de iniciar sesión","PENDING","2023-06-10T20:51:48.218-05:00[America/Bogota]","0.0","0.18"
"Registrar producto","Agregar producto al carrito despues de iniciar sesión","SUCCESS","2023-06-11T09:48:03.691-05:00[America/Bogota]","0.0","12.4"
"Chekout producto","Gestionar la compra del producto","SUCCESS","2023-06-22T16:50:51.44-05:00[America/Bogota]","0.0","19.07"
"Loguearse en la pagina de prueba","Loguearse de manera exitosa en la pagina elempleo.com","PENDING","2023-01-15T18:42:19.951-05:00[America/Bogota]","0.0","0.23"
"Loguearse en la pagina de prueba","Login","SUCCESS","2023-06-21T23:04:03.04-05:00[America/Bogota]","0.0","17.0"
"Ver historial de compras","Ver historial de compra","SUCCESS","2023-06-22T15:13:49.645-05:00[America/Bogota]","0.0","11.15"
"Registar un usuario","Registrar","ERROR","2023-06-22T10:24:08.953-05:00[America/Bogota]","0.0","15.13"
"Registrar un usuario","Registrar","SUCCESS","2023-06-22T12:41:38.392-05:00[America/Bogota]","0.0","14.11"
