"Story","Title","Result","Date","Stability","Duration (s)"
"Registrar producto","Agregar producto al carrito despues de iniciar sesión","SUCCESS","2023-06-11T09:48:03.691-05:00[America/Bogota]","0.0","12.4"
"Chekout producto","Gestionar la compra del producto","SUCCESS","2023-06-22T16:50:51.44-05:00[America/Bogota]","0.0","19.07"
"Loguearse en la pagina de prueba","Login","SUCCESS","2023-06-21T23:04:03.04-05:00[America/Bogota]","0.0","17.0"
"Ver historial de compras","Ver historial de compra","SUCCESS","2023-06-22T15:13:49.645-05:00[America/Bogota]","0.0","11.15"
"Registrar un usuario","Registrar","SUCCESS","2023-06-22T12:41:38.392-05:00[America/Bogota]","0.0","14.11"
